Herd	Year	Pop_Size
WAH	1970	242000
WAH	1976	75000
WAH	1978	107000
WAH	1980	138000
WAH	1982	217863
WAH	1986	229000
WAH	1988	343000
WAH	1990	417000
WAH	1993	478822
WAH	1996	463000
WAH	1999	444597
WAH	2003	490000
WAH	2007	381501
WAH	2009	355828
WAH	2011	324963
WAH	2013	234757
CAH	1978	5000
CAH	1981	8537
CAH	1983	12905
CAH	1991	19046
CAH	1992	23444
CAH	1995	18100
CAH	1997	19730
CAH	2000	27128
CAH	2002	31857
CAH	2008	66772
CAH	2010	70034
TCH	1978	3500
TCH	1984	11822
TCH	1985	13406
TCH	1989	16649
TCH	1993	27686
TCH	1995	25076
TCH	1999	28627
TCH	2002	45166
TCH	2008	64106
TCH	2011	52673
TCH	2013	32000
PCH	1972	99959
PCH	1977	105000
PCH	1979	105683
PCH	1982	125174
PCH	1983	135284
PCH	1987	165000
PCH	1989	178000
PCH	1992	160000
PCH	1994	152000
PCH	1998	129000
PCH	2001	123000
PCH	2010	169000
PCH	2013	197000
CBH	1986	13476
CBH	1987	12516
CBH	1992	19278
CBH	2000	11089
CBH	2005	2434
CBH	2006	1821
CBH	2009	1934
CBH	2012	2427
BLW	1986	88369
BLW	1987	106887
BLW	1992	112360
BLW	2000	76376
BLW	2005	20800
BLW	2006	18050
BLW	2009	17897
BLW	2012	20465
BAT	1977	160000
BAT	1978	127000
BAT	1980	140000
BAT	1982	174000
BAT	1984	384000
BAT	1986	486000
BAT	1990	352000
BAT	1996	349000
BAT	2003	186000
BAT	2006	128000
BAT	2009	31900
BAT	2012	34690
QAM	1976	45000
QAM	1977	47000
QAM	1980	40000
QAM	1982	180000
QAM	1983	234000
QAM	1985	275000
QAM	1988	223000
QAM	1994	496000
QAM	2008	348661
LRH	1975	56000
LRH	1983	101000
LRH	1986	121000
LRH	1991	276000
LRH	2001	628000
LRH	2011	430000
LRH	2014	380000
GRH	1973	105000
GRH	1975	205000
GRH	1976	263100
GRH	1980	390100
GRH	1982	360450
GRH	1984	586600
GRH	1993	775891
GRH	2001	385000
GRH	2010	74100
GRH	2012	27600
GRH	2014	14200
BEV	1971	164000
BEV	1974	124000
BEV	1980	130000
BEV	1982	164338
BEV	1984	263691
BEV	1988	189561
BEV	1994	276000
BEV	2011	124189

