Herd	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
WAH	1979	91.7	98	97.1	93	84.4	74.9	64.4	39.8	30	45.4	73.3	94.8
WAH	1980	98.6	98.4	97.5	95.9	88.5	76.7	58.1	47.2	54.5	65.6	77	95.6
WAH	1981	98.3	98.1	97.2	95.3	87.7	72.5	60	43.9	46.4	61.6	83.3	97.5
WAH	1982	98.3	97.9	97.9	97.8	92.2	73.9	57.7	49	41.6	58.9	79.9	92.7
WAH	1983	98.4	98.6	98.5	96.8	87.8	80.7	71.9	58.5	63.9	71.6	86.6	88
WAH	1984	95.7	97.9	97.4	97.4	91.6	76.2	64.5	50.7	44.3	56.1	73.1	92
WAH	1985	95	95.1	98.8	98.8	94.4	82.8	70.6	56.8	52.9	67.8	82.1	88
WAH	1986	97	98.8	98.8	97.4	87.8	69.5	57.3	43.7	38.9	61.9	71.6	91.5
WAH	1987	98.2	98.6	98.4	97.9	91.6	76.7	57.4	37.6	45.8	52.1	77.8	95.8
WAH	1988	98.6	98.6	98.7	96.1	87.4	78.8	65.2	52.6	55.7	68.4	83.2	98.4
WAH	1989	98.6	95.9	95.4	91.7	84.4	72.3	58.9	38.5	34.2	50.7	77	94.5
WAH	1990	98.8	99.1	99	96.5	88.6	71	53.1	35.5	33.4	47.1	72.4	94.7
WAH	1991	97.8	98.6	98.6	97.4	86.7	73.8	63.1	56.4	48.2	53.7	67.4	91.8
WAH	1992	98.5	98.7	98.7	97.3	91.1	75.5	58	47.1	52.9	64.6	79.4	97.8
WAH	1993	97.5	97	97.7	94.1	84.3	66.5	43.5	24.7	20.8	44.4	69	93.8
WAH	1994	98	97.1	98	97.4	87.5	79.1	70	50.6	53.5	70	85.5	98
WAH	1995	98.2	98.6	98.6	96.5	84.6	73.4	55.7	41.1	39.3	46.5	64.6	90.4
WAH	1996	97.9	98.5	97.6	95.1	82.7	67.9	55.6	41.4	44.2	58.7	64	91.3
WAH	1997	96	98.7	98.9	96.4	83.3	66.3	50.5	37.1	28.7	38.9	57.6	93.8
WAH	1998	98.9	98.8	97.8	95	86.9	69.2	44.4	26.7	15.2	27.2	60	93.2
WAH	1999	98.5	98.7	98.5	98.5	91.9	79.1	60.2	25.4	18.4	46.7	82.4	98.2
WAH	2000	99.1	98.4	97.3	96.8	90.2	75.8	62.7	41.4	30.9	59.3	75.7	87.4
WAH	2001	96.1	93.6	97.3	97.6	88.8	72.7	58	44.6	35.7	64.4	87.4	96.7
WAH	2002	98.6	98.5	97.1	95.8	85	67.2	54	26.3	10.9	40.6	68.8	85.4
WAH	2003	97	98.4	98.6	95.7	81.1	66.9	46.6	22	13.1	39.1	64.3	92.4
WAH	2004	94.6	98	98.1	94	82.5	65.9	50.4	18.8	12	33.2	66.5	90.7
WAH	2005	95.9	98.8	97.9	97.6	85.3	66.7	51.4	30.2	25.5	34.1	69.2	97.3
WAH	2006	99.2	98.2	98.1	97.9	89	76.7	57.8	37	24.3	34.6	60.3	84.6
WAH	2007	98.6	97.7	98.7	95.5	86.1	62	33.7	12.5	5.6	19.5	50.7	76.7
WAH	2008	98.5	99	98.6	98.7	87.2	66.6	33.7	6.6	1.1	30.3	73.5	95.1
WAH	2009	98.8	98.9	98.3	98.3	89.2	65.7	42.5	15.6	8.9	29.6	68.1	96.6
WAH	2010	98.5	98.2	98.4	98.1	88.7	68.2	47.8	18.7	3.8	28.6	63.3	86.8
WAH	2011	97.4	98.2	98.4	96.5	83.7	63.7	37	10.8	2.8	21.5	64.1	95.8
WAH	2012	99.2	98.9	98.6	97.9	90.5	67.9	42.6	6.3	0	16.5	76.7	95.5
WAH	2013	98.1	98.7	98.5	97.8	91.7	74.4	48.3	23.5	23.6	41.6	68.7	85.2
WAH	2014	96.6	97.4	98.1	94.8	82.4	68.5	46.5	24.1	13.2	32.9	56.9	83
TCH	1979	96.2	98.4	97.9	95.8	89.7	80.4	69.9	45.7	36.2	52	80.1	97.7
TCH	1980	98.8	98.7	98	97.6	94.2	83	64	53	60.7	71.6	83.7	97.6
TCH	1981	98.7	98.4	98	97.3	92.1	79.1	65.3	48.5	51.5	67	89.6	98.9
TCH	1982	99	98.2	98.2	98.2	95.9	79	61.5	53.5	46	64.8	86.7	97.2
TCH	1983	99	98.9	99.1	98.4	93.5	86.9	77.3	64	69.6	78.5	92.4	93.4
TCH	1984	97.8	98.3	98.1	98.2	94.9	82.2	71.1	57.2	51.2	63.3	80.2	96.8
TCH	1985	98	97.3	99.1	99.1	97	89.4	77.6	64.2	60	74.9	88.9	94.2
