Year	Herd	Perc_snowcover	Week_snowmelt
1970	WAH	0.67454	25
1971	WAH		26
1972	WAH	0.69938	24
1973	WAH	0.73506	26
1974	WAH	0.67625	26
1975	WAH	0.7359	26
1976	WAH	0.76179	28
1977	WAH	0.68804	28
1978	WAH	0.70244	27
1979	WAH	0.66395	31
1980	WAH	0.69168	27
1981	WAH		34
1982	WAH	0.67361	25
1983	WAH	0.66247	25
1984	WAH	0.66593	24
1985	WAH	0.73735	27
1986	WAH	0.70537	25
1987	WAH	0.67841	26
1988	WAH	0.65946	26
1989	WAH	0.66326	24
1990	WAH	0.64605	22
1991	WAH	0.6599	26
1992	WAH	0.71704	28
1993	WAH	0.6785	24
1994	WAH	0.66967	25
1995	WAH	0.66581	26
1996	WAH	0.69507	25
1997	WAH	0.66203	25
1998	WAH	0.6353	23
1999	WAH	0.67232	24
2000	WAH	0.69587	25
2001	WAH	0.70992	25
2002	WAH	0.66422	26
2003	WAH	0.70547	26
2004	WAH	0.66386	26
2005	WAH	0.6532	26
2006	WAH	0.66955	26
2007	WAH	0.63723	24
2008	WAH	0.65464	23
2009	WAH	0.64838	23
2010	WAH	0.64289	24
2011	WAH	0.64703	24
2012	WAH	0.65268	23
2013	WAH	0.68314	24
2014	WAH		24
1970	TCH	0.6909	25
1971	TCH		26
1972	TCH	0.71534	24
1973	TCH	0.75219	26
1974	TCH	0.68535	26
1975	TCH	0.74537	26
1976	TCH	0.77397	28
1977	TCH	0.68869	28
1978	TCH	0.71994	27
1979	TCH	0.67537	31
1980	TCH	0.71203	27
1981	TCH		
1982	TCH	0.67694	25
1983	TCH	0.68434	25
1984	TCH	0.68245	24
1985	TCH	0.74711	27
1986	TCH	0.70874	25
1987	TCH	0.69688	26
1988	TCH	0.67378	26
1989	TCH	0.67472	25
1990	TCH	0.65094	22
1991	TCH	0.66895	26
1992	TCH	0.72802	28
1993	TCH	0.68724	24
1994	TCH	0.68516	25
1995	TCH	0.67154	26
1996	TCH	0.71086	25
1997	TCH	0.66694	25
1998	TCH	0.63918	23
1999	TCH	0.68667	24
2000	TCH	0.71258	25
2001	TCH	0.71977	25
2002	TCH	0.69099	26
2003	TCH	0.72531	26
2004	TCH	0.67909	26
2005	TCH	0.67161	26
2006	TCH	0.68243	26
2007	TCH	0.64928	24
2008	TCH	0.66496	23
2009	TCH	0.66528	23
2010	TCH	0.65722	24
2011	TCH	0.66098	24
2012	TCH	0.66268	23
2013	TCH	0.7037	24
2014	TCH		24
1970	PCH	0.71165	25
1971	PCH		26
1972	PCH	0.71694	24
1973	PCH	0.77213	26
1974	PCH	0.70719	27
1975	PCH	0.70996	26
1976	PCH	0.76244	30
1977	PCH	0.73067	29
1978	PCH	0.72386	27
1979	PCH	0.71512	31
1980	PCH	0.7264	26
1981	PCH		
1982	PCH	0.6988	25
1983	PCH	0.71572	26
1984	PCH	0.68762	24
1985	PCH	0.74587	27
1986	PCH	0.71728	25
1987	PCH	0.70443	25
1988	PCH	0.68747	25
1989	PCH	0.71308	25
1990	PCH	0.66907	23
1991	PCH	0.68637	25
1992	PCH	0.76575	26
