Herd	Year	z_score_MayTemp	z_score_JuneAugTemp
WAH	1970	-0.284022328	-1.062303424
WAH	1971	-1.020185094	-0.092538708
WAH	1972	-0.201429956	1.322275776
WAH	1973	-0.090213533	-1.054606979
WAH	1974	-0.32640805	-0.241209845
WAH	1975	-0.385762587	-1.279295829
WAH	1976	-0.513891953	-0.596983392
WAH	1977	-0.344974851	1.265805596
WAH	1978	-0.077859877	-0.125657512
WAH	1979	0.288810697	0.74223603
WAH	1980	0.345846479	-0.863446903
WAH	1981	1.024247106	-1.315157626
WAH	1982	-1.073008006	-0.06084846
WAH	1983	0.30999797	-1.250416198
WAH	1984	-1.701904613	-0.948145834
WAH	1985	-0.558562905	-0.493713248
WAH	1986	-0.488754415	-0.077969985
WAH	1987	0.067299765	0.699151155
WAH	1988	0.47066254	-0.456959661
WAH	1989	-1.023381065	0.897204642
WAH	1990	1.540603085	1.184263856
WAH	1991	0.740107443	0.126321806
WAH	1992	-0.700191335	0.077425503
WAH	1993	0.133767013	0.823841167
WAH	1994	0.982498343	0.202402916
WAH	1995	1.340726415	-0.541400775
WAH	1996	1.798068685	-0.557347335
WAH	1997	0.55895402	0.827640785
WAH	1998	0.391014707	0.61593995
WAH	1999	0.474858648	0.502166971
WAH	2000	-2.170298684	-1.683682504
WAH	2001	-3.113657563	-1.111977402
WAH	2002	1.250300562	-0.864774022
WAH	2003	0.071389713	0.191942345
WAH	2004	1.322265774	3.36046002
WAH	2005	0.745203116	0.81970343
WAH	2006	-0.428952889	-1.514838313
WAH	2007	-1.02637589	1.965062046
WAH	2008	0.350478402	-0.724754518
WAH	2009	0.519283756	0.751521636
WAH	2010	-0.151132531	0.015228424
WAH	2011	0.226684828	0.060337789
WAH	2012	-0.89131261	0.320723603
WAH	2013	-1.001992646	0.903996617
WAH	2014	0.747616856	-0.989628868
WAH	2015	1.873587458	0.232005277
TCH	1970	-0.308204427	-0.977297673
TCH	1971	-0.78439262	-0.00890434
TCH	1972	-0.220937654	1.25509408
TCH	1973	-0.020119527	-0.677745745
TCH	1974	-0.426868941	-0.193873329
TCH	1975	-0.155152688	-1.057935202
TCH	1976	-0.32738286	-0.361556099
TCH	1977	-0.174450918	1.371253179
TCH	1978	-0.343680717	-0.206177681
TCH	1979	0.243091129	1.059779127
TCH	1980	0.13961907	-0.809331452
TCH	1981	0.923571566	-1.377887016
TCH	1982	-0.940368498	-0.119132441
TCH	1983	-0.047520401	-1.416384822
TCH	1984	-1.564304684	-0.82409238
TCH	1985	-0.260470711	-0.269803853
TCH	1986	-0.444070721	-0.114953685
TCH	1987	0.071225793	0.816857283
TCH	1988	0.273595837	-0.587071472
TCH	1989	-0.922638521	1.144861684
TCH	1990	1.59058027	1.043712607
TCH	1991	0.942112896	-0.046620509
TCH	1992	-0.444163292	0.238668678
TCH	1993	-0.007301233	0.795340772
TCH	1994	1.002218389	0.393729286
TCH	1995	1.344538722	-0.395398436
