species	nstldpr	nstl	krate	kwing	PropWCfldg	Propmassfldg	trips	tripsnstl	cs	armort	lmas	aerial	regurg	site
Empidonax_occidentalis	0.0302	15.045	0.427353559	0.281767766	0.690398602	1.052977891	19.947	6.136	3.88	0.412608196	1.037426498	1	0	1
Vireo_plumbeus	0.0422	13.4	0.475550227	0.307877571	 	 	7.104	2.921	3.26	 	1.225309282	0	0	1
Vireo_gilvus	0.0216	13.437	0.490114939	0.272988525	0.652174219	0.98560322	10.903	3.502991666	3.66	0.500957533	1.099076075	0	0	1
Parus_gambeli	0.007380891	21.35714	0.359629226	0.23017797	0.850060729	1.059196755	19.818	3.768	6.58	0.517834832	1.06255575	0	0	1
Turdus_migratorius	0.0301	14.667	0.499906086	0.316170267	0.604293192	0.785692109	6.229	1.884	3.34	0.502935942	1.888179494	0	0	1
Catharus_guttatus	0.0474	12.625	0.52665043	0.327545425	0.644078372	0.852817561	5.934	1.896	3.78	0.478689306	1.489958479	0	0	1
Sialia_mexicana	0.005722461	19.25	0.388525705	0.217084715	0.729604832	1.014517023	17.783	3.61	4.88	0.543342494	1.431363764	0	0	1
Troglodytes_aedon	0.003835767	18.23	0.466350344	0.241414328	0.840461657	1.039777887	21.075	4.692	5.99	0.565691831	1.032106797	0	0	1
Certhia_americana	0.0102	17	0.428064088	0.235045636	 	 	17.543	4.759	5.76	0.46944343	0.871607048	0	0	1
Sitta_carolinensis	0.005104211	25.25	0.31136521	0.184655941	0.841476695	1.125333949	19.674	3.254	5.93	0.611382408	1.25417965	0	0	1
Sitta_canadensis	0.004229857	19.825	0.415281073	0.256166017	0.780248902	1.169761419	20.786	4.191	5.57	0.557421751	1.021287767	0	0	1
Piranga_ludoviciana	0.0258	10.2238806	0.55	0.32405463	0.621659147	0.907652845	11.463	2.866	3.75	0.450038277	1.47213645	0	0	1
Vermivora_celata	0.0315	10.633	0.559952815	0.379267748	0.641764272	0.948605049	9.3	2.42	4.39	0.423828207	0.962425504	0	0	1
Vermivora_virginiae	0.0377	10.737	0.545748128	0.372599051	0.639776468	0.951758937	9.604	2.57	3.72	 	0.910824433	0	0	1
Dendroica_coronata	0.0248	9.5	0.551464152	0.355544927	 	 	12.269	2.936	3.92	0.516426132	1.096729489	0	0	1
Cardellina_rubrifrons	0.0393	11.021	0.528676345	0.360371979	0.629590502	0.969180134	9.021	2.238	4.12	0.443385439	0.989713242	0	0	1
Pipilo_maculatus	0.0394	9.389	0.50925503	0.342590324	0.568131591	0.723058927	 	 	2.96	 	1.570760033	0	0	1
Pipilo_chlorurus	0.0367	9.5	0.533204303	0.349588992	0.595405762	0.815884718	6.962	1.951753474	3.614420063	0.461018884	1.464608084	0	0	1
Junco_hyemalis	0.0377	11.148	0.494918399	0.338537273	0.623348906	0.864725276	7.478	2.057	3.948006932	0.447818305	1.320892223	0	0	1
Spizella_passerina	0.0424	9.3	0.574111062	0.383758853	0.587497405	0.896231942	7.529	2.545	3.388888889	 	1.077481461	0	0	1
Pipra_pipra	 	20	0.300123856	0.218725126	 	 	 	 	2	 	1.158874898	0	1	2
Masius_chrysopterus	0.028169014	19.5	0.294977259	0.213185274	 	 	4.276	2.651	2	0.108271415	1.134017646	0	1	2
Mionectes_olivaceus	0.035643564	20.80555556	0.316277633	0.207039942	0.813057824	1.086595536	3.197	1.371349617	2.7421875	0.233835156	1.133219457	0	1	2
Pyrrhomyias_cinnamomeus	0.011235955	19.125	0.345951172	0.217277632	 	 	19.6365881	13.305	2	 	1	1	0	2
Zimmerius_chrysops	0.038575668	19	0.308197324	0.221082241	 	 	13.394	8.357	1.98	0.264244432	0.95568775	1	0	2
Myiodynastes_chrysocephalus	0.00462963	20	0.334226349	0.218725126	 	 	 	 	3.166666667	 	1.556302501	1	0	2
Myiophobus_flavicans	0.02247191	18	0.324580432	0.217039942	 	 	11.042	4.402	2	 	1	1	0	2
Myiophobus_fasciatus	 	15.75	0.372114192	0.228168363	 	 	17.389	9.528	1.888888	 	1.047274867	1	0	2
