Author	Year	Region	Taxa	Year.Pred	Endemic	Model.Type	Disp.Mod	Threshold	N.Ext	Total.N	Percent	Weight	Logit	Pre.Ind.Rise	Temperature.Model.Scale
McDonald	1992	NAmerica	mammals	2050	Y	SAR	None	1	3	14	0.214285714	19	-1.299282984	3.6	Global
McDonald	1992	NAmerica	mammals	2050	Y	SAR	None	0.95	3	14	0.214285714	19	-1.299282984	3.6	Global
McDonald	1992	NAmerica	mammals	2050	Y	SAR	None	0.8	4	14	0.285714286	19	-0.916290732	3.6	Global
Murphy	1992	NAmerica	mammals	2050	Y	SAR	None	1	15	34	0.441176471	7	-0.236388778	3.6	Global
Murphy	1992	NAmerica	Inverts	2050	Y	SAR	None	1	36	155	0.232258065	7	-1.195604555	3.6	Global
Murphy	1992	NAmerica	plants	2050	Y	SAR	None	1	51	305	0.167213115	7	-1.605508634	3.6	Global
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.8	4	13	0.307692308	13	-0.810930216	1.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.95	1	13	0.076923077	13	-2.48490665	1.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	1	1	13	0.076923077	13	-2.48490665	1.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.8	6	13	0.461538462	13	-0.15415068	2.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.95	6	13	0.461538462	13	-0.15415068	2.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	1	1	13	0.076923077	13	-2.48490665	2.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.8	7	13	0.538461538	13	0.15415068	3.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	0.95	6	13	0.461538462	13	-0.15415068	3.6	Australia
Brereton	1995	AustraliaNewZealand	mammals	2060	N	SDM	Universal	1	5	13	0.384615385	13	-0.470003629	3.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.8	3	17	0.176470588	17	-1.540445041	1.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.95	2	17	0.117647059	17	-2.014903021	1.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	1	0	17	0	17	-3.555348061	1.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.8	8	17	0.470588235	17	-0.117783036	2.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.95	6	17	0.352941176	17	-0.606135804	2.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	1	2	17	0.117647059	17	-2.014903021	2.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.8	10	17	0.588235294	17	0.356674944	3.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	0.95	8	17	0.470588235	17	-0.117783036	3.6	Australia
Brereton	1995	AustraliaNewZealand	birds	2060	N	SDM	Universal	1	4	17	0.235294118	17	-1.178654996	3.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.8	1	7	0.142857143	7	-1.791759469	1.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.95	0	7	0	7	-2.708050201	1.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	1	0	7	0	7	-2.708050201	1.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.8	2	7	0.285714286	7	-0.916290732	2.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.95	2	7	0.285714286	7	-0.916290732	2.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	1	2	7	0.285714286	7	-0.916290732	2.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.8	5	7	0.714285714	7	0.916290732	3.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	0.95	4	7	0.571428571	7	0.287682072	3.6	Australia
Brereton	1995	AustraliaNewZealand	reptiles	2060	N	SDM	Universal	1	2	7	0.285714286	7	-0.916290732	3.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.8	0	3	0	3	-1.945910149	1.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.95	0	3	0	3	-1.945910149	1.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	1	0	3	0	3	-1.945910149	1.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.8	1	3	0.333333333	3	-0.693147181	2.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.95	1	3	0.333333333	3	-0.693147181	2.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	1	0	3	0	3	-1.945910149	2.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.8	1	3	0.333333333	3	-0.693147181	3.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	0.95	1	3	0.333333333	3	-0.693147181	3.6	Australia
Brereton	1995	AustraliaNewZealand	amphibians	2060	N	SDM	Universal	1	0	3	0	3	-1.945910149	3.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.8	1	2	0.5	2	0	1.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.95	0	2	0	2	-1.609437912	1.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	1	0	2	0	2	-1.609437912	1.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.8	2	2	1	2	1.609437912	2.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.95	2	2	1	2	1.609437912	2.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	1	1	2	0.5	2	0	2.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.8	2	2	1	2	1.609437912	3.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	0.95	2	2	1	2	1.609437912	3.6	Australia
Brereton	1995	AustraliaNewZealand	Inverts	2060	N	SDM	Universal	1	2	2	1	2	1.609437912	3.6	Australia
Huntley	1995	Europe	plants	2100	N	SDM	Universal	1	0	8	0	8	-2.833213344	3	Global
Huntley	1995	Europe	plants	2100	N	SDM	Universal	0.95	0	8	0	8	-2.833213344	3	Global
Huntley	1995	Europe	plants	2100	N	SDM	Universal	0.8	0	8	0	8	-2.833213344	3	Global
Huntley	1995	Europe	plants	2100	N	SDM	Universal	1	0	8	0	8	-2.833213344	5.4	Global
Huntley	1995	Europe	plants	2100	N	SDM	Universal	0.95	0	8	0	8	-2.833213344	5.4	Global
Huntley	1995	Europe	plants	2100	N	SDM	Universal	0.8	0	8	0	8	-2.833213344	5.4	Global
Hughes	1996	AustraliaNewZealand	plants	2070	Y	SDM	None	1	205	819	0.25030525	819	-1.096984949	1.6	Australia
Hughes	1996	AustraliaNewZealand	plants	2070	Y	SDM	None	1	336	819	0.41025641	819	-0.362905494	2.6	Australia
Hughes	1996	AustraliaNewZealand	plants	2070	Y	SDM	None	1	434	819	0.52991453	819	0.1198012	3.6	Australia
Hughes	1996	AustraliaNewZealand	plants	2070	Y	SDM	None	1	598	819	0.73015873	819	0.995428052	5.6	Australia
Eaton	1996	NAmerica	fish	2100	N	Mechanistic	Universal	1	0	57	0	57	-4.744932128	5	Global
Eaton	1996	NAmerica	fish	2100	N	Mechanistic	Universal	0.95	0	57	0	57	-4.744932128	5	Global
Eaton	1996	NAmerica	fish	2100	N	Mechanistic	Universal	0.8	0	57	0	57	-4.744932128	5	Global
Johnston	1997	NAmerica	mammals	2100	N	Mechanistic	Universal	1	0	4	0	4	-2.197224577	4.8	US
