biweek,year,loc,cases,pop
1,1906,BALTIMORE,NA,526822.1365
2,1906,BALTIMORE,NA,526995.246
3,1906,BALTIMORE,NA,527170.1981
4,1906,BALTIMORE,NA,527347.0136
5,1906,BALTIMORE,NA,527525.7134
6,1906,BALTIMORE,NA,527706.3183
7,1906,BALTIMORE,NA,527888.849
8,1906,BALTIMORE,NA,528073.3264
9,1906,BALTIMORE,NA,528259.7712
10,1906,BALTIMORE,NA,528448.2044
11,1906,BALTIMORE,NA,528638.6468
12,1906,BALTIMORE,NA,528831.119
13,1906,BALTIMORE,NA,529025.642
14,1906,BALTIMORE,NA,529222.2366
15,1906,BALTIMORE,NA,529420.9236
16,1906,BALTIMORE,NA,529621.7238
17,1906,BALTIMORE,NA,529824.658
18,1906,BALTIMORE,NA,530029.747
19,1906,BALTIMORE,NA,530237.0117
20,1906,BALTIMORE,12,530446.4728
21,1906,BALTIMORE,14,530658.1513
22,1906,BALTIMORE,17,530872.0678
23,1906,BALTIMORE,12,531088.2432
24,1906,BALTIMORE,23,531306.6983
25,1906,BALTIMORE,24,531527.454
26,1906,BALTIMORE,43,531750.531
1,1907,BALTIMORE,62,531975.9502
2,1907,BALTIMORE,99,532203.7323
3,1907,BALTIMORE,129,532433.8983
4,1907,BALTIMORE,185,532666.4688
5,1907,BALTIMORE,229,532901.4648
6,1907,BALTIMORE,237,533138.907
7,1907,BALTIMORE,222,533378.8163
8,1907,BALTIMORE,221,533621.2134
9,1907,BALTIMORE,219,533866.1193
10,1907,BALTIMORE,154,534113.5546
11,1907,BALTIMORE,110,534363.5402
12,1907,BALTIMORE,99,534616.097
13,1907,BALTIMORE,86,534871.2457
14,1907,BALTIMORE,54,535129.0072
15,1907,BALTIMORE,30,535389.4022
16,1907,BALTIMORE,22,535652.4516
17,1907,BALTIMORE,12,535918.1762
18,1907,BALTIMORE,5,536186.5969
19,1907,BALTIMORE,5,536457.7344
20,1907,BALTIMORE,NA,536731.6095
21,1907,BALTIMORE,6,537008.243
22,1907,BALTIMORE,5,537287.6559
23,1907,BALTIMORE,6,537569.8688
24,1907,BALTIMORE,63,537854.9027
25,1907,BALTIMORE,44,538142.7783
26,1907,BALTIMORE,23,538433.5164
1,1908,BALTIMORE,29,538727.1378
2,1908,BALTIMORE,61,539023.6634
3,1908,BALTIMORE,70,539323.114
4,1908,BALTIMORE,100,539625.5104
5,1908,BALTIMORE,173,539930.8734
6,1908,BALTIMORE,239,540239.2239
7,1908,BALTIMORE,270,540550.5825
8,1908,BALTIMORE,245,540864.9702
9,1908,BALTIMORE,149,541182.4078
10,1908,BALTIMORE,139,541502.9161
11,1908,BALTIMORE,107,541826.5158
12,1908,BALTIMORE,49,542153.2279
13,1908,BALTIMORE,22,542483.0731
14,1908,BALTIMORE,14,542816.0723
15,1908,BALTIMORE,11,543152.2462
16,1908,BALTIMORE,20,543491.6157
17,1908,BALTIMORE,3,543834.2015
18,1908,BALTIMORE,2,544180.0246
19,1908,BALTIMORE,4,544529.1057
20,1908,BALTIMORE,3,544881.4656
21,1908,BALTIMORE,2,545237.1251
22,1908,BALTIMORE,6,545596.1052
23,1908,BALTIMORE,13,545958.4265
24,1908,BALTIMORE,41,546324.1098
25,1908,BALTIMORE,45,546693.1761
26,1908,BALTIMORE,55,547065.6461
1,1909,BALTIMORE,117,547441.5407
2,1909,BALTIMORE,150,547820.8806
3,1909,BALTIMORE,177,548203.6867
4,1909,BALTIMORE,255,548589.9797
5,1909,BALTIMORE,281,548979.7805
6,1909,BALTIMORE,231,549373.11
7,1909,BALTIMORE,301,549769.9888
8,1909,BALTIMORE,325,550170.4379
9,1909,BALTIMORE,327,550574.4781
10,1909,BALTIMORE,237,550982.1301
11,1909,BALTIMORE,220,551393.4148
12,1909,BALTIMORE,123,551808.353
13,1909,BALTIMORE,70,552226.9656
14,1909,BALTIMORE,52,552649.2732
15,1909,BALTIMORE,30,553075.2968
16,1909,BALTIMORE,3,553505.0572
17,1909,BALTIMORE,5,553938.5751
18,1909,BALTIMORE,4,554375.8714
19,1909,BALTIMORE,3,554816.9669
20,1909,BALTIMORE,4,555261.8824
21,1909,BALTIMORE,2,555710.6388
22,1909,BALTIMORE,10,556163.2568
23,1909,BALTIMORE,14,556619.7572
24,1909,BALTIMORE,13,557080.161
25,1909,BALTIMORE,24,557544.4888
26,1909,BALTIMORE,13,558012.7615
1,1910,BALTIMORE,39,558485
2,1910,BALTIMORE,39,558961.2168
3,1910,BALTIMORE,44,559441.3919
4,1910,BALTIMORE,61,559925.4971
5,1910,BALTIMORE,51,560413.5041
6,1910,BALTIMORE,72,560905.3848
7,1910,BALTIMORE,63,561401.1108
8,1910,BALTIMORE,54,561900.6539
9,1910,BALTIMORE,64,562403.986
10,1910,BALTIMORE,66,562911.0787
11,1910,BALTIMORE,53,563421.9038
12,1910,BALTIMORE,36,563936.4332
13,1910,BALTIMORE,34,564454.6385
14,1910,BALTIMORE,27,564976.4916
15,1910,BALTIMORE,22,565501.9642
16,1910,BALTIMORE,13,566031.028
17,1910,BALTIMORE,4,566563.655
18,1910,BALTIMORE,7,567099.8167
19,1910,BALTIMORE,24,567639.485
20,1910,BALTIMORE,NA,568182.6316
21,1910,BALTIMORE,NA,568729.2284
22,1910,BALTIMORE,NA,569279.247
23,1910,BALTIMORE,NA,569832.6593
24,1910,BALTIMORE,NA,570389.437
25,1910,BALTIMORE,78,570949.5518
26,1910,BALTIMORE,127,571512.9757
1,1911,BALTIMORE,171,572079.6802
2,1911,BALTIMORE,228,572649.6372
3,1911,BALTIMORE,261,573222.8185
4,1911,BALTIMORE,316,573799.1958
5,1911,BALTIMORE,482,574378.7408
6,1911,BALTIMORE,453,574961.4255
7,1911,BALTIMORE,370,575547.2214
8,1911,BALTIMORE,292,576136.1004
9,1911,BALTIMORE,219,576728.0343
10,1911,BALTIMORE,208,577322.9948
11,1911,BALTIMORE,186,577920.9537
12,1911,BALTIMORE,158,578521.8827
13,1911,BALTIMORE,76,579125.7537
14,1911,BALTIMORE,57,579732.5383
15,1911,BALTIMORE,22,580342.2085
16,1911,BALTIMORE,17,580954.7358
17,1911,BALTIMORE,8,581570.0921
18,1911,BALTIMORE,2,582188.2492
19,1911,BALTIMORE,2,582809.1788
20,1911,BALTIMORE,4,583432.8527
21,1911,BALTIMORE,4,584059.2427
22,1911,BALTIMORE,5,584688.3205
23,1911,BALTIMORE,5,585320.0578
24,1911,BALTIMORE,9,585954.4266
25,1911,BALTIMORE,21,586591.3985
26,1911,BALTIMORE,10,587230.9452
1,1912,BALTIMORE,17,587873.0387
2,1912,BALTIMORE,17,588517.6505
3,1912,BALTIMORE,14,589164.7526
4,1912,BALTIMORE,16,589814.3166
5,1912,BALTIMORE,24,590466.3144
6,1912,BALTIMORE,33,591120.7176
7,1912,BALTIMORE,27,591777.4981
8,1912,BALTIMORE,20,592436.6277
9,1912,BALTIMORE,22,593098.078
10,1912,BALTIMORE,29,593761.821
11,1912,BALTIMORE,45,594427.8282
12,1912,BALTIMORE,48,595096.0716
13,1912,BALTIMORE,28,595766.5228
14,1912,BALTIMORE,21,596439.1537
15,1912,BALTIMORE,32,597113.936
16,1912,BALTIMORE,8,597790.8414
17,1912,BALTIMORE,10,598469.8418
18,1912,BALTIMORE,4,599150.9089
19,1912,BALTIMORE,4,599834.0144
20,1912,BALTIMORE,11,600519.1302
21,1912,BALTIMORE,8,601206.228
22,1912,BALTIMORE,6,601895.2796
23,1912,BALTIMORE,7,602586.2568
24,1912,BALTIMORE,18,603279.1312
25,1912,BALTIMORE,68,603973.8747
26,1912,BALTIMORE,60,604670.4591
1,1913,BALTIMORE,63,605368.856
2,1913,BALTIMORE,122,606069.0374
3,1913,BALTIMORE,163,606770.9749
4,1913,BALTIMORE,214,607474.6403
5,1913,BALTIMORE,670,608180.0053
6,1913,BALTIMORE,805,608887.0419
7,1913,BALTIMORE,872,609595.7216
8,1913,BALTIMORE,813,610306.0163
9,1913,BALTIMORE,778,611017.8978
10,1913,BALTIMORE,497,611731.3378
11,1913,BALTIMORE,284,612446.3081
12,1913,BALTIMORE,132,613162.7804
13,1913,BALTIMORE,65,613880.7265
14,1913,BALTIMORE,55,614600.1182
15,1913,BALTIMORE,27,615320.9273
16,1913,BALTIMORE,19,616043.1255
17,1913,BALTIMORE,5,616766.6846
18,1913,BALTIMORE,5,617491.5763
19,1913,BALTIMORE,2,618217.7725
20,1913,BALTIMORE,2,618945.2448
21,1913,BALTIMORE,12,619673.9651
22,1913,BALTIMORE,4,620403.9051
23,1913,BALTIMORE,3,621135.0367
24,1913,BALTIMORE,11,621867.3314
25,1913,BALTIMORE,4,622600.7612
26,1913,BALTIMORE,5,623335.2978
1,1914,BALTIMORE,19,624070.9129
2,1914,BALTIMORE,17,624807.5784
3,1914,BALTIMORE,17,625545.266
4,1914,BALTIMORE,38,626283.9474
5,1914,BALTIMORE,31,627023.5944
6,1914,BALTIMORE,43,627764.1789
7,1914,BALTIMORE,60,628505.6725
8,1914,BALTIMORE,57,629248.047
9,1914,BALTIMORE,39,629991.2742
10,1914,BALTIMORE,41,630735.3259
11,1914,BALTIMORE,23,631480.1738
12,1914,BALTIMORE,13,632225.7898
13,1914,BALTIMORE,10,632972.1454
14,1914,BALTIMORE,18,633719.2127
15,1914,BALTIMORE,11,634466.9632
16,1914,BALTIMORE,4,635215.3688
17,1914,BALTIMORE,4,635964.4012
18,1914,BALTIMORE,2,636714.0322
19,1914,BALTIMORE,6,637464.2336
20,1914,BALTIMORE,3,638214.9771
21,1914,BALTIMORE,2,638966.2345
22,1914,BALTIMORE,4,639717.9776
23,1914,BALTIMORE,4,640470.1782
24,1914,BALTIMORE,2,641222.8079
25,1914,BALTIMORE,2,641975.8386
26,1914,BALTIMORE,2,642729.2421
1,1915,BALTIMORE,7,643482.99
2,1915,BALTIMORE,3,644237.0542
3,1915,BALTIMORE,9,644991.4065
4,1915,BALTIMORE,15,645746.0186
5,1915,BALTIMORE,31,646500.8622
6,1915,BALTIMORE,34,647255.9092
7,1915,BALTIMORE,58,648011.1313
8,1915,BALTIMORE,75,648766.5003
9,1915,BALTIMORE,118,649521.9879
