Scientific Name	Taxon	Trait	r	SampleSize	Source
Acanthurus glaucoparieus	Fish	size	-0.11	12	Robertson 1985
Acanthurus leucosternon	Fish	size	0.38	15	Robertson 1985
Acanthurus nigrofuscus	Fish	size	0.51	13	Robertson 1985
Agalychnis callidryas	Amphibian	size	0.868	10	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.297	5	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.084	15	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.121	15	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.114	39	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.021	39	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.704	64	Briggs 2007
Agalychnis callidryas	Amphibian	size	0.28	59	Briggs 2007
Agalychnis moreletii	Amphibian	size	0.515	9	Briggs 2007
Agalychnis moreletii	Amphibian	size	0.112	9	Briggs 2007
Agalychnis moreletii	Amphibian	size	0.329	43	Briggs 2007
Agalychnis moreletii	Amphibian	size	0.132	43	Briggs 2007
Agalychnis moreletii	Amphibian	size	0.417	54	Briggs 2007
Agalychnis moreletii	Amphibian	size	-0.152	52	Briggs 2007
Agelena limbata	Chelicerate	size	0.473	40	Masumoto 1999
Agelena limbata	Chelicerate	size	0.415	25	Masumoto 1999
Agelena limbata	Chelicerate	size	0.685	20	Masumoto 1999
Agelena limbata	Chelicerate	size	0.558	17	Masumoto 1999
Agelena limbata	Chelicerate	size	0.471	40	Masumoto 1999
Agelena limbata	Chelicerate	size	0.303	25	Masumoto 1999
Agelena limbata	Chelicerate	size	0.689	20	Masumoto 1999
Agelena limbata	Chelicerate	size	0.284	17	Masumoto 1999
Alca torda	Bird	size	0.38	36	Wagner 1999
Alpheus heterochaelis	Crustacean	size	0.864	191	Hughes 1996
Alytes cisternasii	Amphibian	size	0.41	31	Márquez 1993
Alytes obstetricans	Amphibian	size	0.22	13	Márquez 1993
Anous stolidus	Bird	size	0.51	34	Chardine and Morris 1989
Archocentrus nigrofasciatus	Fish	size	0.469	40	Beeching et al. 2004
Arianta arbustorum	Gastropod	size	0.245	35	Baur 1992
Artemia salina	Crustacean	size	-0.11	48	Forbes et al. 1992
Artemia salina	Crustacean	size	0.74	16	Forbes et al. 1992
Artemia salina	Crustacean	size	0.42	12	Forbes et al. 1992
Artemia salina	Crustacean	size	0.56	34	Forbes et al. 1992
Asellus aquaticus	Crustacean	size	0.32	93	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.82	15	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.44	16	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.75	17	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.73	16	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.85	12	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.52	11	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.61	21	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.16	20	Adams et al. 1985b
Asellus aquaticus	Crustacean	size	0.59	160	Hargeby and Erlandsson 2006
Asellus aquaticus	Crustacean	size	0.4123105626	40	Hargeby and Erlandsson 2006
Asellus aquaticus	Crustacean	size	0.6633249581	40	Hargeby and Erlandsson 2006
Asellus aquaticus	Crustacean	size	0.5099019514	40	Hargeby and Erlandsson 2006
Asellus aquaticus	Crustacean	size	0.7141428429	40	Hargeby and Erlandsson 2006
Asellus aquaticus	Crustacean	size	0.55	11	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.15	24	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.18	4	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.32	8	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.62	20	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0	6	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	-0.15	9	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.37	108	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.27	123	Ridley and Thompson 1979
Asellus aquaticus	Crustacean	size	0.57	25	Ridley and Thompson 1979
Brachinus lateralis	Crustacean	size	0.315	52	Juliano 1985
Brachinus lateralis	Crustacean	size	0.302	54	Juliano 1985
Branta bernicla	Bird	size	0.387	35	Poisbleau et al. 2006
Branta bernicla	Bird	size	-0.081	16	Poisbleau et al. 2006
Branta bernicla	Bird	size	0.219	19	Poisbleau et al. 2006
Branta bernicla	Bird	size	0.388	19	Poisbleau et al. 2006
Branta bernicla	Bird	size	0.5	16	Poisbleau et al. 2006
Bufo americanus	Amphibian	size	-0.49	129	Howard et al. 1994
Bufo americanus	Amphibian	size	0.18	63	Kruse 1981
Bufo americanus	Amphibian	size	-0.098	7	Wilbur et al. 1978
Bufo boreas	Amphibian	size	0.57	4	Olson et al. 1986
Bufo boreas	Amphibian	size	0.39	28	Olson et al. 1986
Bufo boreas	Amphibian	size	0.46	38	Olson et al. 1986
Bufo boreas	Amphibian	size	0.49	44	Olson et al. 1986
Bufo boreas	Amphibian	size	0.11	10	Olson et al. 1986
Bufo boreas	Amphibian	size	0.34	14	Olson et al. 1986
Bufo boreas	Amphibian	size	0.64	13	Olson et al. 1986
Bufo boreas	Amphibian	size	-0.06	3	Olson et al. 1986
Bufo boreas	Amphibian	size	0.48	12	Olson et al. 1986
Bufo boreas	Amphibian	size	0.13	21	Olson et al. 1986
Bufo boreas	Amphibian	size	0.14	37	Olson et al. 1986
Bufo boreas	Amphibian	size	0.25	18	Olson et al. 1986
Bufo boreas	Amphibian	size	-0.15	16	Olson et al. 1986
Bufo boreas	Amphibian	size	-0.32	15	Olson et al. 1986
Bufo bufo	Amphibian	size	-0.05	64	Arntzen 1999
Bufo bufo	Amphibian	size	0.32	25	Arntzen 1999
Bufo bufo	Amphibian	size	0.35	49	Arntzen 1999
Bufo bufo	Amphibian	size	0.18	22	Arntzen 1999
