Site,Band_number,Time_stamp,mm
SCBI,TH30233,2014-05-05 12:32:00,39.04
SCBI,TH30233,2014-05-12 10:49:00,39.39
SCBI,TH30233,2014-05-19 16:29:00,40.11
SCBI,TH30233,2014-05-28 09:39:00,40.22
SCBI,TH30233,2014-06-05 10:52:00,43.52
SCBI,TH30233,2014-06-09 12:00:00,NA
SCBI,TH30233,2014-06-18 11:22:00,43.94
SCBI,TH30233,2014-06-19 11:33:00,46.73
SCBI,TH30233,2014-06-23 15:37:00,47.16
SCBI,TH30233,2014-06-26 11:40:00,NA
SCBI,TH30233,2014-06-30 15:19:00,47.37
SCBI,TH30233,2014-07-07 11:10:00,48.16
SCBI,TH30233,2014-07-14 10:02:00,48.79
SCBI,TH30233,2014-07-21 11:19:00,49.12
SCBI,TH30233,2014-08-14 14:30:00,50.44
SCBI,TH30233,2014-08-25 11:05:00,50.27
SCBI,TH30233,2014-09-02 11:20:00,49.75
SCBI,TH30233,2014-09-08 11:05:00,50.26
SCBI,TH30233,2014-09-15 10:07:00,50.14
SCBI,TH30233,2014-09-22 10:06:00,49.97
SCBI,TH30233,2014-09-29 10:07:00,50.31
SCBI,TH30233,2014-10-06 10:09:00,50.82
SCBI,TH30233,2014-10-14 10:19:00,50.38
SCBI,TH30233,2014-10-20 11:30:00,51.08
SCBI,TH30233,2014-10-23 14:37:00,71.18
SCBI,TH30233,2014-11-03 15:27:00,72.22
SCBI,TH30233,2014-11-10 9:57:00,72.1
SCBI,TH33392,2014-05-05 11:44:00,27.99
SCBI,TH33392,2014-05-12 11:05:00,27.99
SCBI,TH33392,2014-05-19 16:31:00,29.04
SCBI,TH33392,2014-05-28 09:42:00,29.36
SCBI,TH33392,2014-06-05 10:49:00,29.64
SCBI,TH33392,2014-06-18 11:47:00,34.6
SCBI,TH33392,2014-06-19 12:04:00,NA
SCBI,TH33392,2014-06-20 11:07:00,NA
SCBI,TH33392,2014-06-23 15:55:00,36.2
SCBI,TH33392,2014-06-24 16:05:00,NA
SCBI,TH33392,2014-06-26 11:35:00,36.86
SCBI,TH33392,2014-06-30 15:14:00,37.45
SCBI,TH33392,2014-07-07 11:13:00,38.68
SCBI,TH33392,2014-07-14 10:04:00,40.66
SCBI,TH33392,2014-07-21 11:21:00,41.75
SCBI,TH33392,2014-08-14 14:30:00,44.86
SCBI,TH33392,2014-08-25 11:09:00,45.26
SCBI,TH33392,2014-09-02 11:22:00,44.61
SCBI,TH33392,2014-09-08 11:06:00,44.98
SCBI,TH33392,2014-09-15 10:08:00,44.88
SCBI,TH33392,2014-09-22 10:08:00,44.49
SCBI,TH33392,2014-09-29 10:08:00,44.75
SCBI,TH33392,2014-10-06 10:11:00,45.22
SCBI,TH33392,2014-10-14 10:22:00,45.36
SCBI,TH33392,2014-10-20 11:30:00,45.4
SCBI,TH33392,2014-11-03 15:30:00,44.02
SCBI,TH33392,2014-11-10 9:58:00,44.22
SCBI,TH33393,2014-05-05 11:26:00,32.22
SCBI,TH33393,2014-05-12 11:03:00,32.52
SCBI,TH33393,2014-05-19 16:32:00,33.05
SCBI,TH33393,2014-05-28 09:42:00,32.86
SCBI,TH33393,2014-06-05 10:49:00,34.02
SCBI,TH33393,2014-06-18 11:44:00,34.13
SCBI,TH33393,2014-06-23 15:58:00,34.33
SCBI,TH33393,2014-06-30 15:17:00,34.72
SCBI,TH33393,2014-07-07 11:13:00,34.65
SCBI,TH33393,2014-07-14 10:04:00,34.81
SCBI,TH33393,2014-07-21 11:20:00,35.15
SCBI,TH33393,2014-08-14 14:30:00,35.6
SCBI,TH33393,2014-08-25 11:09:00,35.6
SCBI,TH33393,2014-09-02 11:22:00,35.65
SCBI,TH33393,2014-09-08 11:09:00,35.9
SCBI,TH33393,2014-09-09 11:09:00,NA
SCBI,TH33393,2014-09-15 10:09:00,35.6
SCBI,TH33393,2014-09-22 10:10:00,35.71
SCBI,TH33393,2014-09-29 10:09:00,35.53
SCBI,TH33393,2014-10-06 10:12:00,35.61
SCBI,TH33393,2014-10-14 10:23:00,36.41
SCBI,TH33393,2014-10-20 11:30:00,36.51
SCBI,TH33393,2014-11-03 15:31:00,35.57
SCBI,TH33393,2014-11-10 9:59:00,35.69
SCBI,TH40563,2014-05-05 10:54:00,29.41
SCBI,TH40563,2014-05-05 11:02:00,NA
SCBI,TH40563,2014-05-12 10:54:00,29.7
SCBI,TH40563,2014-05-19 16:24:00,31.26
SCBI,TH40563,2014-05-28 09:31:00,31.5
SCBI,TH40563,2014-06-05 10:43:00,34.58
SCBI,TH40563,2014-06-18 11:28:00,35.48
SCBI,TH40563,2014-06-23 15:42:00,36.72
SCBI,TH40563,2014-06-30 15:08:00,38.04
SCBI,TH40563,2014-07-07 11:19:00,39.5
SCBI,TH40563,2014-07-14 10:09:00,40.73
SCBI,TH40563,2014-07-21 11:15:00,41.47
