colony,tag_id,body_size,age,foraging_events,group_period1,group_period2,group_period3,group_period4,visits_brood,visits_entrance,visits_rubbishpile
4,0,153.496,330,0,N,N,N,N,287.636,0.181818,2
4,29,165.421,330,0,N,C,C,C,144.091,0.0909091,4.36364
4,50,161.45,246,0,N,N,NA,NA,333.727,0.181818,1.54545
4,52,170.848,57,0,N,N,N,NA,324.545,0,0.818182
4,63,151.4,246,0,N,N,N,F,250.182,0,0.0909091
4,127,143.757,85,0,N,C,C,F,208.273,0.0909091,0.818182
4,137,140.801,330,0,N,C,N,NA,449.364,0.0909091,4.72727
4,139,150.546,330,0,N,N,N,N,447.455,0.0909091,2.45455
4,156,173.046,40,0,N,N,N,N,372.182,0.181818,1.90909
4,159,153.264,40,0,N,N,N,NA,159.455,0,0.181818
4,169,161.83,40,0,N,N,N,NA,129.727,0.181818,1.72727
4,173,161.505,330,0,N,N,N,N,290.273,0,0.727273
4,178,178.18,330,0,N,N,N,N,61.8182,0,3.63636
4,190,179.694,57,0,N,C,N,C,409.455,0,0.181818
4,191,138.398,71,0,N,N,N,N,1215.64,1.90909,3.54545
4,218,172.699,351,0,N,C,C,C,75.1818,0,1.18182
4,242,149.482,330,0,N,N,N,C,229,0,1.18182
4,380,140.118,40,0,N,N,N,N,202.091,0,0.454545
4,390,163.444,330,0,N,N,N,N,161.091,0.363636,3.36364
4,394,151.182,330,0,N,C,C,F,115.818,0.363636,0.818182
4,437,167.335,40,0,N,C,NA,NA,73.4545,0.272727,3.18182
4,538,150.376,57,0,N,N,N,N,1121,0.0909091,3.63636
4,552,147.98,246,0,N,N,N,NA,348.455,0.454545,20.8182
4,593,152.895,57,0,N,C,C,F,87.8182,0,1.81818
4,620,141.45,57,0,N,C,NA,NA,137.909,0.909091,4.63636
18,0,238.346,14,0,N,N,NA,NA,3.36364,0,1.72727
18,2,184.708,139,0,N,C,C,F,30.6364,4.27273,5.63636
18,5,160.863,50,0,N,N,NA,NA,124.636,0.363636,61.6364
18,6,167.529,64,0,N,N,C,C,75.2727,3.54545,3.27273
18,15,154.945,40,0,N,N,N,N,95.2727,0,1.54545
18,26,148.189,40,0,N,N,NA,NA,76.8182,0.545455,0
18,30,146.154,71,0,N,N,C,NA,30.6364,0.181818,3.63636
18,32,169.118,14,0,N,N,N,NA,167.909,0.181818,2.27273
18,38,246.658,40,0,N,N,NA,NA,1.36364,0,0.181818
18,44,178.135,64,0,N,N,N,NA,116.091,2.90909,7.63636
18,50,163.049,50,0,N,N,N,N,133.818,0,2.18182
18,52,148.122,14,0,N,N,N,N,978.545,0,13.8182
18,60,177.282,71,0,N,N,N,N,18.3636,0.727273,1.81818
18,62,150,40,0,N,N,N,NA,519.455,1,1.90909
18,63,176.706,134,0,N,N,N,C,30.7273,0,14.3636
18,76,142.338,71,0,N,NA,NA,NA,69.3636,5.18182,12.2727
18,80,175.071,92,0,N,NA,NA,NA,1.36364,0,0.454545
18,96,133.454,40,0,N,N,N,C,62.7273,4.09091,3.27273
18,97,137.441,14,0,N,N,NA,NA,209.909,0,2.36364
18,98,149.272,40,0,N,N,N,N,119.091,0,8.81818
18,99,202.8,64,0,N,N,N,N,95.6364,1.63636,2.18182
18,102,179.045,78,0,N,N,N,N,52,0,5.09091
18,105,170.558,14,0,N,N,N,NA,89,1.09091,12.7273
18,112,139.517,50,0,N,C,F,NA,160.273,0.181818,0.454545
18,114,144.81,57,0,N,N,C,NA,560.182,0.0909091,88.8182
18,137,152.555,40,0,N,N,N,N,79.2727,0,4.27273
18,142,169.567,14,0,N,NA,NA,NA,544.909,5.72727,17.7273
18,144,149.857,99,0,N,N,C,NA,73.5455,0.818182,14.5455
18,147,177.519,120,0,N,N,N,C,5.63636,0,2.63636
18,148,162.163,50,0,N,N,N,N,26,0.545455,0.636364
18,161,158.382,78,0,N,N,N,NA,9.27273,1,0
18,169,190.924,71,0,N,N,N,N,5.45455,2.72727,2.45455
18,170,169.859,64,0,N,N,NA,NA,24.6364,0,1.72727
18,174,175.354,57,0,N,N,N,N,156.909,0,3.18182
18,206,155.878,64,0,N,N,N,N,456.182,0.0909091,51.7273
18,207,161.199,85,0,N,NA,NA,NA,58.4545,0.363636,23.0909
18,209,183.469,99,0,N,N,N,N,429.636,0.454545,4.09091
18,210,163.233,78,0,N,N,C,C,210.182,0.272727,85.1818
18,219,163.049,64,0,N,N,N,NA,131,0.0909091,1.09091
18,237,150.841,211,0,N,N,N,N,124.455,2.36364,1.45455
18,244,174.751,120,0,N,N,N,C,14.4545,2.27273,0.909091
18,252,168.716,40,0,N,NA,NA,NA,50.9091,0,1.90909
18,257,157.003,99,0,N,N,N,NA,11.6364,1.81818,2.45455
18,260,152.735,0,0,N,N,NA,NA,150.455,0.818182,19.3636
18,296,139.463,50,0,N,N,N,C,11.0909,0,0.454545
18,298,166.235,64,0,N,N,N,N,77.9091,1.72727,29.7273
18,299,157.051,40,0,N,NA,NA,NA,101.455,1,1
18,301,173,40,0,N,N,NA,NA,158.727,0.636364,2.90909
18,311,164.906,64,0,N,C,NA,NA,53.0909,17.9091,33.3636
18,313,169.446,155,0,N,N,NA,NA,4.45455,0.545455,1.27273
18,318,178.869,120,0,N,NA,NA,NA,41,0.727273,0.181818
18,324,129.634,50,0,N,N,C,C,474.727,0.363636,0.545455
18,332,153.805,64,0,N,N,N,N,101.545,0.181818,4.72727
