Maternal ID,Egg ID,Oviposition Julian date,Month,Habitat,Egg Mass (g),Egg Survival,Hatch Julian Date,Snout-Vent Length (mm),Tail Length (mm),Hatchling Mass (g),Sex,Survival to 3 weeks,Age (weeks) at racing,Mass (g) at racing,Julian date of racing,Speed over 25 cm (m/s),Speed over 1 m (m/s),Stops while racing
62,1,13245,April,Shade,0.1538,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,13245,July,Open,0.1212,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,13245,July,Shade,0.2195,Y,13277,18,30,0.1932,M,Y,1,0.2075,13284,1.8823529,0.3989092,3.2
13,4,13245,July,Shade,0.2195,Y,13277,18,30,0.1932,M,Y,3,0.2302,13298,0.3838081,0.2900028,3.2
13,5,13245,April,Shade,0.2086,Y,13315,18,31,0.1976,M,Y,1,0.1664,13322,0.392638,0.2805479,3.4
13,5,13245,April,Shade,0.2086,Y,13315,18,31,0.1976,M,Y,3,0.2161,13336,0.377025,0.2716901,3.8
1,7,13245,July,Open,0.198,Y,13273,18,30,0.172,M,Y,1,0.2145,13280,0.8504983,0.5044335,4.25
1,7,13245,July,Open,0.198,Y,13273,18,30,0.172,M,Y,3,0.2182,13294,0.4663024,0.3651926,4.2
71,8,13247,April,Open,0.2031,Y,13302,18,30,0.1797,F,Y,1,0.1767,13309,0.1303462,NA,7.2
71,8,13247,April,Open,0.2031,Y,13302,18,30,0.1797,F,Y,3,0.1271,13322,0.1299492,NA,9.4
11,9,13247,July,Shade,0.1434,Y,13283,18,31,0.1463,F,Y,1,0.1541,13290,0.5256674,0.3965918,3
11,9,13247,July,Shade,0.1434,Y,13283,18,31,0.1463,F,Y,3,0.1696,13304,0.5529158,0.3781388,3.2
87,10,13247,April,Open,0.1859,Y,13302,18,29,0.1726,M,N,1,0.1386,13309,0.1793973,0.0931841,5
94,11,13247,April,Shade,0.1836,Y,13316,18,30,0.1705,F,Y,1,0.1552,13323,0.1411246,NA,11.4
94,11,13247,April,Shade,0.1836,Y,13316,18,30,0.1705,F,Y,3,0.1859,13337,0.2212619,0.1124163,10
84,12,13247,July,Open,0.174,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,13247,July,Shade,0.2037,Y,13285,20,36,0.2028,M,N,1,0.2138,13292,3.2820513,0.5192698,4.4
32,14,13249,April,Open,0.1422,Y,13306,18,29,0.1483,M,N,1,0.1437,13313,0.2279608,0.196961,5.2
11,17,13252,April,Shade,0.1579,Y,13326,19,31,0.1556,M,Y,1,0.1496,13333,0.4749536,0.1461813,5.8
11,17,13252,April,Shade,0.1579,Y,13326,19,31,0.1556,M,Y,3,0.1428,13347,0.1272366,NA,10.2
89,18,13252,July,Open,0.1551,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,19,13252,July,Shade,0.1668,Y,13290,19,32,0.1782,M,Y,1,0.1636,13297,0.2755651,0.1981041,6
87,19,13252,July,Shade,0.1668,Y,13290,19,32,0.1782,M,Y,3,0.1749,13311,0.2620266,0.1777469,4.8
66,21,13252,April,Open,0.1936,Y,13313,19,31,0.1992,M,Y,1,0.2021,13320,0.4663024,0.3644128,2.8
66,21,13252,April,Open,0.1936,Y,13313,19,31,0.1992,M,Y,3,0.1683,13334,0.2147651,0.1185322,6
1,22,13252,April,Shade,0.2245,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,27,13256,July,Open,0.1608,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,28,13259,April,Open,0.1731,Y,13319,19,31,0.1644,M,Y,1,0.2135,13328,0.455516,0.1928437,8
11,28,13259,April,Open,0.1731,Y,13319,19,31,0.1644,M,Y,3,0.2097,13340,0.2807018,0.2060777,5.4
22,29,13259,April,Shade,0.165,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,30,13259,July,Shade,0.1681,Y,13295,18,30,0.164,F,Y,1,0.1667,13302,0.7529412,0.2673629,3
32,30,13259,July,Shade,0.1681,Y,13295,18,30,0.164,F,Y,3,0.1637,13316,0.3069544,0.2042282,8.2
13,31,13259,July,Open,0.2191,Y,13294,19,32,0.2212,M,Y,1,0.2066,13301,1.8686131,0.5071818,2.8
13,31,13259,July,Open,0.2191,Y,13294,19,32,0.2212,M,Y,3,0.1962,13315,0.4980545,0.3930902,1.6
1,32,13259,April,Open,0.2225,Y,13319,19,34,0.2006,F,Y,1,0.1627,13328,0.3065868,0.2663892,5
1,32,13259,April,Open,0.2225,Y,13319,19,34,0.2006,F,Y,3,0.1619,13340,0.8,0.5364065,2.4
62,33,13261,July,Open,0.1693,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,34,13261,July,Shade,0.1706,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,35,13261,July,Open,0.1894,Y,13290,18,26,0.1609,M,Y,1,0.1428,13297,0.4338983,0.3121951,2.75
1,35,13261,July,Open,0.1894,Y,13290,18,26,0.1609,M,Y,3,0.1766,13311,0.2666667,0.1696207,5.2
95,36,13263,July,Shade,0.1403,Y,13301,18,29,0.1493,M,N,1,0.1722,13308,1.2307692,0.3189038,4.2
11,37,13263,July,Open,0.1515,Y,13295,18,31,0.1565,M,Y,1,0.1563,13302,0.6632124,0.2579995,4.2
11,37,13263,July,Open,0.1515,Y,13295,18,31,0.1565,M,Y,3,0.1209,13316,0.2327273,0.148535,4.5
62,38,13263,April,Open,0.1957,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,40,13266,April,Shade,0.1921,Y,13342,19,17,0.1468,M,N,NA,NA,NA,NA,NA,NA
84,41,13266,April,Open,0.1775,Y,13329,19,33,0.1814,F,Y,1,0.2197,13336,0.8205128,0.4658781,2
84,41,13266,April,Open,0.1775,Y,13329,19,33,0.1814,F,Y,3,0.1705,13350,0.4309764,0.3138216,4.6
5,42,13266,July,Shade,0.1922,Y,13302,19,29,0.1817,M,Y,1,0.1909,13309,0.4338983,0.3491306,1.6
5,42,13266,July,Shade,0.1922,Y,13302,19,29,0.1817,M,Y,3,0.1614,13322,0.2267493,0.183809,5.8
49,43,13266,April,Shade,0.1922,Y,13336,18,26,0.1648,M,N,1,0.1062,13343,0.1348078,0.0465497,8
21,44,13266,July,Open,0.2141,Y,13296,18,32,0.1747,M,Y,1,0.1884,13303,0.516129,0.297761,3
21,44,13266,July,Open,0.2141,Y,13296,18,32,0.1747,M,Y,3,0.1571,13317,0.2105263,0.2037811,7.4
94,46,13268,April,Open,0.1739,Y,13330,19,31,0.1924,F,Y,1,0.2465,13337,0.2655602,0.1677863,4.8
94,46,13268,April,Open,0.1739,Y,13330,19,31,0.1924,F,Y,3,0.204,13351,0.3908397,0.2547264,4.6
11,47,13268,July,Shade,0.1432,Y,13306,18,31,0.1495,F,Y,1,0.1647,13313,0.399376,3.047619,2.4
11,47,13268,July,Shade,0.1432,Y,13306,18,31,0.1495,F,Y,3,0.1266,13327,0.1848375,0.1311475,9.8
66,48,13268,April,Shade,0.175,Y,13344,17,27,0.1387,F,N,NA,NA,NA,NA,NA,NA
85,49,13270,April,Shade,0.157,Y,13350,16,29,0.113,M,N,NA,NA,NA,NA,NA,NA
68,50,13270,July,Shade,0.1338,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,51,13270,April,Open,0.248,Y,13337,18,34,0.2315,M,Y,1,0.2413,13344,0.5344468,0.3154652,2.2
13,51,13270,April,Open,0.248,Y,13337,18,34,0.2315,M,Y,3,0.2753,13360,0.4238411,0.2968977,5.6
