Scientific Name	Taxon Author	tsn
Alocandrena porteri	Michener, 1986	752055
Ancylandrena atoposoma	(Cockerell, 1934)	654122
Ancylandrena koebelei	(Timberlake, 1951)	654123
Ancylandrena larreae	(Timberlake, 1951)	654124
Ancylandrena rozeni	Zavortink, 1994	654125
Ancylandrena timberlakei	Zavortink, 1974	654126
Andrena abbreviata	Dours, 1873	752090
Andrena aberrans	Eversmann, 1852	752091
Andrena abjecta	Pérez, 1895	752092
Andrena ablegata	(Cockerell, 1922)	654127
Andrena abrupta	Warncke, 1967	752093
Andrena aburana	Hirashima, 1962	752094
Andrena accepta	Viereck, 1916	654128
Andrena acerba	Warncke, 1967	752095
Andrena aciculata	Morawitz, 1886	752096
Andrena acrana	Warncke, 1967	752097
Andrena aculeata	LaBerge, 1980	654129
Andrena acutilabris	Morawitz, 1876	752098
Andrena adjacens	Morawitz, 1876	752099
Andrena aegyptiaca	Friese, 1899	752100
Andrena aegypticola	Friese, 1922	752101
Andrena aeneiventris	Morawitz, 1872	752102
Andrena aerifera	LaBerge, 1967	654130
Andrena aerinifrons	Dours, 1873	752103
Andrena aeripes	LaBerge, 1967	654131
Andrena aetherea	Warncke, 1974	752104
Andrena afghana	Warncke, 1974	752105
Andrena afimbriata	LaBerge, 1967	654132
Andrena afrensis	Warncke, 1967	752106
Andrena africana	Friese, 1909	752107
Andrena agilis	Smith, 1879	654133
Andrena agilissima	(Scopoli, 1770)	752108
Andrena agnata	Warncke, 1967	752109
Andrena agoseridis	Thorp, 1969	654134
Andrena ahenea	Morawitz, 1876	752110
Andrena aiderensis	Osytshnjuk, 1993	752111
Andrena ailisensis	Osytshnjuk, 1993	752112
Andrena aino	Tadauchi, Hirashima & Matsumura, 1987	752113
Andrena akitsushimae	Tadauchi & Hirashima, 1984	752114
Andrena alamonis	Viereck, 1917	654135
Andrena alashanica	Popov, 1949	752115
Andrena albicaudata	Hirashima, 1966	752116
Andrena albiculta	Viereck, 1917	654136
Andrena albifacies	Alfken, 1927	752117
Andrena albopicta	Radoszkowski, 1874	752118
Andrena albopunctata	(Rossi, 1792)	752119
Andrena albuginosa	(Viereck, 1904)	752120
Andrena alceae	LaBerge, 1986	654137
Andrena alchata	Warncke, 1974	752121
Andrena alfkenella	Perkins, 1914	752122
Andrena alfkenelloides	Warncke, 1965	752123
Andrena algida	Smith, 1853	654138
Andrena aliciae	Robertson, 1891	654139
Andrena aliciarum	Cockerell, 1897	654140
Andrena alijevi	Osytshnjuk, 1986	752124
Andrena alleghaniensis	Viereck, 1907	654141
Andrena allosa	Warncke, 1975	752125
Andrena alluaudi	Benoist, 1961	752126
Andrena almas	Tadauchi, Miyanaga & Dawut, 2005	752127
Andrena altaica	Lebedev, 1932	752128
Andrena alutacea	Stoeckhert, 1942	752129
Andrena amamiensis	Hirashima, 1960	752130
Andrena amarilla	Cockerell, 1949	654142
Andrena amicula	Warncke, 1967	752131
Andrena amoena	Morawitz, 1876	752132
Andrena amphibola	(Viereck, 1904)	654143
Andrena ampla	Warncke, 1967	752133
Andrena anatolica	Alfken, 1935	752134
Andrena anatolis	Linsley & MacSwain, 1961	654144
Andrena andrenoides	(Cresson, 1878)	654145
Andrena angarensis	Cockerell, 1929	752135
Andrena angelesia	Timberlake, 1951	654146
Andrena angustella	Cockerell, 1936	654147
Andrena angusticrus	LaBerge, 1971	654148
Andrena angustifovea	Viereck, 1904	752136
Andrena angustior	(Kirby, 1802)	752137
Andrena angustitarsata	Viereck, 1904	654149
Andrena anisochlora	Cockerell, 1936	654150
Andrena annapurna	Tadauchi & Matsumura, 2007	753137
Andrena annectens	Ribble, 1968	654151
Andrena anograe	Cockerell, 1901	654152
Andrena anonyma	Cameron, 1897	752138
Andrena anthracina	Morawitz, 1880	752139
Andrena anthrisci	Blüthgen, 1925	752140
Andrena antigana	Pérez, 1895	752141
Andrena antonitonis	Viereck & Cockerell, 1914	752142
Andrena anzu	Tadauchi & Hirashima, 1987	752143
Andrena apacheorum	Cockerell, 1897	654153
Andrena apasta	Linsley & MacSwain, 1961	654154
Andrena apicata	Smith, 1847	752144
Andrena apiformis	Kreichbaumer, 1873	752145
Andrena aquila	LaBerge, 1971	654155
Andrena arabica	Scheuchl & Gusenleitner, 2007	752146
Andrena arabis	Robertson, 1897	654156
Andrena arctostaphylae	Ribble, 1968	654157
