Scientific_name,English_name,TipLabel,Female_plumage_score,Male_plumage_score
Abroscopus albogularis,Rufous-faced Warbler,Abroscopus_albogularis,45.83333333,51.94444444
Abroscopus schisticeps,Black-faced Warbler,Abroscopus_schisticeps,48.88888889,47.77777778
Abroscopus superciliaris,Yellow-bellied Warbler,Abroscopus_superciliaris,43.19444444,43.61111111
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Acanthagenys_rufogularis,39.30555556,39.16666667
Acanthidops bairdii,Peg-billed Finch,Acanthidops_bairdii,40.55555556,54.16666667
Acanthisitta chloris,Rifleman,Acanthisitta_chloris,48.75,51.11111111
Acanthiza apicalis,Inland Thornbill,Acanthiza_apicalis,43.19444444,44.86111111
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthiza_chrysorrhoa,50.13888889,49.44444444
Acanthiza ewingii,Tasmanian Thornbill,Acanthiza_ewingii,40.41666667,40.27777778
Acanthiza inornata,Western Thornbill,Acanthiza_inornata,43.33333333,45.41666667
Acanthiza iredalei,Slender-billed Thornbill,Acanthiza_iredalei,46.80555556,47.08333333
Acanthiza katherina,Mountain Thornbill,Acanthiza_katherina,41.25,43.19444444
Acanthiza lineata,Striated Thornbill,Acanthiza_lineata,45.97222222,44.16666667
Acanthiza murina,Papuan Thornbill,Acanthiza_murina,45,40.83333333
Acanthiza nana,Yellow Thornbill,Acanthiza_nana,38.05555556,38.05555556
Acanthiza pusilla,Brown Thornbill,Acanthiza_pusilla,41.66666667,40.83333333
Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza_reguloides,42.91666667,42.36111111
Acanthiza robustirostris,Slaty-backed Thornbill,Acanthiza_robustirostris,46.66666667,45.69444444
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza_uropygialis,41.11111111,42.08333333
Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus_superciliosus,36.94444444,48.05555556
Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus_tenuirostris,48.88888889,53.33333333
Acanthornis magna,Scrubtit,Acanthornis_magna,46.66666667,45.55555556
Achaetops pycnopygius,Rockrunner,Achaetops_pycnopygius,46.38888889,44.58333333
Acridotheres albocinctus,Collared Myna,Acridotheres_albocinctus,58.47222222,59.44444444
Acridotheres cinereus,Pale-bellied Myna,Acridotheres_cinereus,52.08333333,52.5
Acridotheres cristatellus,Crested Myna,Acridotheres_cristatellus,58.47222222,58.61111111
Acridotheres fuscus,Jungle Myna,Acridotheres_fuscus,53.88888889,51.11111111
Acridotheres ginginianus,Bank Myna,Acridotheres_ginginianus,52.77777778,53.88888889
Acridotheres grandis,White-vented Myna,Acridotheres_grandis,59.86111111,60.27777778
Acridotheres tristis,Common Myna,Acridotheres_tristis,58.33333333,59.02777778
Acrobatornis fonsecai,Pink-legged Graveteiro,Acrobatornis_fonsecai,52.63888889,52.08333333
Acrocephalus aedon,Thick-billed Warbler,Acrocephalus_aedon,42.63888889,38.19444444
