ID,clone,size,pop,ad,afr,ro
2,1,Large,AST,87,13,236
3,1,Large,AST,99,13,200
5,1,Large,AST,102,11,250
6,1,Large,AST,72,12,215
7,1,Large,AST,69,13,131
8,1,Large,AST,71,13,168
10,1,Large,AST,66,11,206
11,1,Large,AST,103,11,342
12,1,Large,AST,80,11,158
13,1,Large,AST,91,11,272
14,1,Large,AST,34,11,103
15,1,Large,AST,35,12,123
16,1,Large,AST,92,12,296
17,1,Large,AST,90,12,287
18,1,Large,AST,76,12,267
19,1,Large,AST,77,13,226
20,1,Large,AST,75,13,187
21,1,Large,AST,82,12,277
23,1,Large,AST,44,12,87
24,1,Large,AST,27,11,28
25,1,Large,AST,86,12,211
26,2,Large,AST,100,11,288
28,2,Large,AST,77,13,211
29,2,Large,AST,71,12,219
30,2,Large,AST,69,12,249
31,2,Large,AST,111,13,248
32,2,Large,AST,91,11,273
33,2,Large,AST,65,13,226
35,2,Large,AST,71,11,229
36,2,Large,AST,65,12,171
37,2,Large,AST,104,13,258
38,2,Large,AST,81,11,242
39,2,Large,AST,93,13,215
40,2,Large,AST,83,13,251
41,2,Large,AST,90,11,240
42,2,Large,AST,103,13,229
44,2,Large,AST,88,13,284
45,2,Large,AST,86,13,286
46,2,Large,AST,78,12,232
47,2,Large,AST,74,13,256
48,2,Large,AST,80,12,283
49,2,Large,AST,60,11,216
52,3,Large,AST,108,13,278
53,3,Large,AST,63,12,162
55,3,Large,AST,34,13,101
56,3,Large,AST,47,13,127
57,3,Large,AST,52,13,145
59,3,Large,AST,103,13,269
60,3,Large,AST,92,12,238
61,3,Large,AST,88,13,299
62,3,Large,AST,81,12,264
63,3,Large,AST,90,11,234
64,3,Large,AST,79,13,244
66,3,Large,AST,71,13,229
67,3,Large,AST,100,11,268
68,3,Large,AST,90,11,261
70,3,Large,AST,72,13,181
71,3,Large,AST,104,13,224
72,3,Large,AST,77,12,273
74,3,Large,AST,66,11,168
75,3,Large,AST,40,11,135
76,4,Large,AST,30,12,60
79,4,Large,AST,103,12,263
80,4,Large,AST,99,12,211
81,4,Large,AST,100,12,267
82,4,Large,AST,53,12,131
83,4,Large,AST,34,13,66
84,4,Large,AST,81,13,239
85,4,Large,AST,90,11,278
86,4,Large,AST,93,11,186
87,4,Large,AST,72,13,223
88,4,Large,AST,20,11,8
89,4,Large,AST,74,12,220
90,4,Large,AST,78,13,250
91,4,Large,AST,70,12,178
93,4,Large,AST,62,12,185
94,4,Large,AST,58,12,240
95,4,Large,AST,106,11,257
96,4,Large,AST,77,13,227
97,4,Large,AST,17,13,8
98,4,Large,AST,89,11,274
99,4,Large,AST,76,11,207
101,5,Large,AST,62,14,81
105,5,Large,AST,61,11,98
106,5,Large,AST,37,12,51
107,5,Large,AST,31,15,38
108,5,Large,AST,22,15,30
111,5,Large,AST,27,15,32
113,5,Large,AST,30,14,31
115,5,Large,AST,28,14,56
116,5,Large,AST,50,13,79
117,5,Large,AST,49,11,92
118,5,Large,AST,54,14,76
120,5,Large,AST,33,12,35
121,5,Large,AST,43,13,54
122,5,Large,AST,51,14,85
123,5,Large,AST,30,13,62
125,5,Large,AST,73,14,96
126,6,Large,AST,66,13,76
127,6,Large,AST,20,11,11
128,6,Large,AST,46,13,74
131,6,Large,AST,27,13,40
132,6,Large,AST,36,11,61
134,6,Large,AST,32,13,49
135,6,Large,AST,44,14,76
136,6,Large,AST,40,11,40
137,6,Large,AST,28,12,53
138,6,Large,AST,33,13,55
139,6,Large,AST,37,15,63
140,6,Large,AST,41,13,68
141,6,Large,AST,59,14,101
144,6,Large,AST,48,14,51
145,6,Large,AST,27,14,23
146,6,Large,AST,21,11,9
147,6,Large,AST,17,12,11
148,6,Large,AST,36,15,61
149,6,Large,AST,43,11,69
152,7,Large,AST,18,12,7
153,7,Large,AST,33,13,53
154,7,Large,AST,36,13,64
155,7,Large,AST,49,11,83
156,7,Large,AST,51,11,87
157,7,Large,AST,22,15,16
158,7,Large,AST,30,12,33
159,7,Large,AST,36,14,37
160,7,Large,AST,48,11,65
161,7,Large,AST,40,13,56
162,7,Large,AST,41,12,56
163,7,Large,AST,43,14,77
164,7,Large,AST,57,13,85
167,7,Large,AST,55,13,81
168,7,Large,AST,20,11,19
169,7,Large,AST,49,12,40
170,7,Large,AST,48,14,84
172,7,Large,AST,38,14,39
173,7,Large,AST,50,11,80
174,7,Large,AST,47,11,76
175,7,Large,AST,24,14,27
176,8,Large,AST,27,13,32
177,8,Large,AST,27,15,27
178,8,Large,AST,45,14,57
180,8,Large,AST,61,11,94
181,8,Large,AST,50,11,70
183,8,Large,AST,47,14,54
184,8,Large,AST,48,13,68
185,8,Large,AST,41,11,57
186,8,Large,AST,49,13,74
187,8,Large,AST,52,15,86
188,8,Large,AST,49,14,46
189,8,Large,AST,62,12,97
191,8,Large,AST,71,14,98
192,8,Large,AST,70,11,97
193,8,Large,AST,62,11,94
194,8,Large,AST,59,12,74
195,8,Large,AST,31,11,56
197,8,Large,AST,18,13,19
199,8,Large,AST,42,13,92
200,8,Large,AST,56,14,104
201,9,Large,AST,75,12,163
202,9,Large,AST,83,11,215
203,9,Large,AST,71,12,158
204,9,Large,AST,90,11,174
206,9,Large,AST,18,13,16
207,9,Large,AST,89,11,122
208,9,Large,AST,60,13,147
209,9,Large,AST,26,12,40
210,9,Large,AST,30,13,52
211,9,Large,AST,67,12,166
212,9,Large,AST,75,11,199
213,9,Large,AST,48,12,137
214,9,Large,AST,71,13,139
215,9,Large,AST,35,11,67
216,9,Large,AST,63,11,149
218,9,Large,AST,93,12,199
219,9,Large,AST,63,12,111
220,9,Large,AST,37,13,38
222,9,Large,AST,82,12,171
223,9,Large,AST,66,13,146
224,9,Large,AST,60,12,101
225,9,Large,AST,102,13,208
226,10,Large,AST,67,11,122
227,10,Large,AST,99,12,223
228,10,Large,AST,66,13,176
229,10,Large,AST,50,13,130
230,10,Large,AST,74,11,150
231,10,Large,AST,93,13,221
232,10,Large,AST,48,11,123
233,10,Large,AST,76,13,152
236,10,Large,AST,45,11,85
237,10,Large,AST,100,13,213
238,10,Large,AST,60,13,80
239,10,Large,AST,76,12,130
240,10,Large,AST,82,11,152
242,10,Large,AST,72,12,147
243,10,Large,AST,70,13,184
244,10,Large,AST,82,13,170
245,10,Large,AST,49,11,138
247,10,Large,AST,68,12,106
248,10,Large,AST,94,13,215
249,10,Large,AST,78,13,193
250,10,Large,AST,20,12,17
251,11,Large,AST,84,13,206
252,11,Large,AST,82,12,156
253,11,Large,AST,60,11,116
254,11,Large,AST,63,13,92
256,11,Large,AST,99,11,188
257,11,Large,AST,37,11,44
259,11,Large,AST,60,12,154
260,11,Large,AST,70,11,194
261,11,Large,AST,40,11,102
262,11,Large,AST,47,11,107
263,11,Large,AST,88,13,195
264,11,Large,AST,80,12,164
265,11,Large,AST,90,11,175
266,11,Large,AST,74,12,158
267,11,Large,AST,72,11,165
268,11,Large,AST,66,12,173
271,11,Large,AST,93,13,216
272,11,Large,AST,77,13,206
273,11,Large,AST,31,13,48
275,11,Large,AST,100,12,206
276,12,Large,AST,42,13,111
277,12,Large,AST,58,13,121
280,12,Large,AST,28,13,40
281,12,Large,AST,82,11,190
282,12,Large,AST,79,11,156
283,12,Large,AST,69,11,121
285,12,Large,AST,81,12,117
286,12,Large,AST,44,12,113
287,12,Large,AST,36,12,67
288,12,Large,AST,100,13,223
289,12,Large,AST,18,11,16
290,12,Large,AST,31,12,52
291,12,Large,AST,81,11,173
293,12,Large,AST,78,12,174
294,12,Large,AST,91,12,219
295,12,Large,AST,77,13,141
297,12,Large,AST,90,11,210
298,12,Large,AST,32,11,54
299,12,Large,AST,68,13,152
300,12,Large,AST,45,11,85
301,13,Large,WTE,80,13,245
302,13,Large,WTE,85,13,217
303,13,Large,WTE,50,13,150
305,13,Large,WTE,21,11,28
306,13,Large,WTE,92,11,188
307,13,Large,WTE,39,13,103
308,13,Large,WTE,92,13,180
309,13,Large,WTE,99,13,239
310,13,Large,WTE,36,11,89
311,13,Large,WTE,95,11,286
312,13,Large,WTE,18,12,24
314,13,Large,WTE,22,13,52
315,13,Large,WTE,106,12,191
316,13,Large,WTE,32,11,51
317,13,Large,WTE,82,13,228
318,13,Large,WTE,80,13,181
319,13,Large,WTE,92,13,271
320,13,Large,WTE,34,12,72
321,13,Large,WTE,105,11,237
322,13,Large,WTE,73,11,196
323,13,Large,WTE,59,12,167
324,13,Large,WTE,86,12,241
326,14,Large,WTE,87,12,179
327,14,Large,WTE,78,13,167
328,14,Large,WTE,30,11,45
329,14,Large,WTE,91,12,228
330,14,Large,WTE,52,13,150
331,14,Large,WTE,18,13,15
332,14,Large,WTE,95,11,222
333,14,Large,WTE,101,12,284
335,14,Large,WTE,54,13,151
336,14,Large,WTE,71,11,144
337,14,Large,WTE,92,11,212
338,14,Large,WTE,25,13,33
339,14,Large,WTE,72,12,251
340,14,Large,WTE,92,13,248
341,14,Large,WTE,72,11,133
343,14,Large,WTE,92,11,239
344,14,Large,WTE,75,12,220
345,14,Large,WTE,82,12,261
346,14,Large,WTE,40,11,112
347,14,Large,WTE,83,12,202
348,14,Large,WTE,100,12,255
