age,plot,genus,species,spcode,Abund.n,biomass,basal.area,SLA,LDMC,LPC,CN,d15N,d13C,plot total abund,total plot biomass,total plot basal area
10,1,Byrsonima,crassifolia,Byrcra,57,1205.364427,3978.387,62.09219184,0.447038449,0.043918846,45.42962045,-0.360118799,-27.59379082,108,7127.043394,16424.45438
10,1,Cochlospermum,vitifolium,cocvit,2,2.742354588,12.48975,,,,,,,108,7127.043394,16424.45438
10,1,Curatella,americana,curame,42,5872.708237,12262.0365,29.66209655,0.440149615,0.061617147,38.41891892,-0.751106553,-28.57336502,108,7127.043394,16424.45438
10,1,Genipa,americana,gename,1,1.048466198,4.921875,,,,,,,108,7127.043394,16424.45438
10,1,Roupala,montana,roumon,6,45.17990891,166.61925,145.2968954,0.536842152,0.032469035,35.07534026,5.507130966,-29.39001709,108,7127.043394,16424.45438
10,2,Alibertia ,edulis,aliedu,1,1.048466198,4.921875,,,,,,,193,1805.491916,6520.381875
10,2,Byrsonima,crassifolia,Byrcra,21,163.5109484,586.152,62.36630101,0.499283854,0.040250508,33.26980214,-1.401561155,-29.72715813,193,1805.491916,6520.381875
10,2,Cochlospermum,vitifolium,cocvit,1,1.244770846,5.740875,,,,,,,193,1805.491916,6520.381875
10,2,Curatella,americana,curame,151,1565.118989,5636.925,60.94397997,0.49202805,0.05556681,26.62143027,-0.935985222,-28.91072517,193,1805.491916,6520.381875
10,2,Luehea,speciosa,luespe,7,26.37812626,103.02075,,,,,,,193,1805.491916,6520.381875
10,2,Roupala,montana,roumon,12,48.19061499,183.621375,46.07277783,0.572600245,0.038391801,32.32581332,9.271750793,-29.32526642,193,1805.491916,6520.381875
15,3,Acacia,collinsii,acacol,64,155.2328129,655.869375,,,,,,,443,6661.028209,22043.40075
15,3,Agonandra,macrocarpa,agomac,2,13.46982452,52.171875,,,,,,,443,6661.028209,22043.40075
15,3,Alibertia ,edulis,aliedu,4,5.117140363,23.506875,94.53301386,0.421929386,0.056666818,27.25942388,2.478744493,-31.37884384,443,6661.028209,22043.40075
15,3,Bursera,tomentosa,burtom,9,34.84965332,141.742125,103.0280732,0.37970257,0.140520352,24.31299706,1.690945082,-29.83021645,443,6661.028209,22043.40075
15,3,Byrsonima,crassifolia,Byrcra,116,1685.107677,5785.392375,71.62834697,0.458274807,0.05376854,38.42550738,3.178620281,-29.98985374,443,6661.028209,22043.40075
15,3,Casearia,sylvestris ,cassyl,2,3.794791457,16.734375,,,,,,,443,6661.028209,22043.40075
15,3,Cochlospermum,vitifolium,cocvit,1,4.702030832,18.907875,,,,,,,443,6661.028209,22043.40075
15,3,Cordia,guanacastensis ,corgua,13,17.91560572,81.561375,156.8246359,0.276779792,0.103079262,22.87189145,1.23241395,-31.08331573,443,6661.028209,22043.40075
15,3,Curatella,americana,curame,16,160.3599508,582.5295,89.77319096,0.446920061,0.068114203,41.31540755,-0.41958236,-28.33715324,443,6661.028209,22043.40075
