maleID	GC	T
1	66.9	64.57
1	51.09	35.57
1	65.89	114.28
1	80.88	137.81
1	32.65	59.94
1	60.52	101.83
1	65.89	65.84
1	52.72	43.98
1	84.85	102.31
1	98.25	149.61
2	55.98	96.67
2	53.3	96.02
3	114.89	204.25
3	78.18	211.69
3	56.38	209.44
3	41.72	460.92
3	103.75	175.49
3	52.6	151.58
3	55.06	219.95
3	121.22	203.41
3	50.82	141.29
3	69.2	208.66
3	68.58	226.5
3	58.35	213.75
3	40.27	111.72
3	82.75	193.61
3	40.59	149.43
3	53.22	155.99
3	38.36	114.95
3	45.79	99.34
3	66.64	229.81
3	65.11	161.67
3	99.03	347.05
3	37.96	324.12
3	95.75	295.45
3	51.78	161.18
3	36.47	65.2
3	75.19	130.95
3	54.06	162.74
3	42.89	66.12
3	61.85	93.93
3	60.91	110.3
3	72.63	146.66
3	52.11	113.85
3	71.21	108.01
3	47.36	154.25
3	34.85	107.05
3	29.95	110.82
3	32.19	93.32
3	52.35	189.61
3	59.68	121.14
3	58.38	231.06
3	73.69	116.08
3	56.15	102.37
3	63.58	103.21
3	49.31	82.62
3	77.4	126.8
3	77.18	124.01
3	41.35	56.58
3	97.76	80.53
3	47.98	51.36
3	61.87	59.24
3	65.83	47.57
3	52.08	90.19
3	84.92	99.25
3	136.31	142.82
3	104	112.08
3	61.49	127.49
3	69.13	103.14
3	73.42	153.09
3	65.25	78.66
3	51.07	97.55
3	106.76	160.4
4	66.77	223.85
4	71.42	229.09
4	32.63	138.96
4	57.25	451.4
4	43.61	305.33
4	32.63	206.77
4	56.1	130.95
4	66.47	135.96
4	33.74	206.26
4	29.01	188.53
4	73	279.18
4	47.54	191.74
4	56.43	1134.46
4	32.01	143.59
4	44.4	137.05
4	34.72	143.63
4	51.11	434.64
4	27.82	170.92
4	15.61	52.82
4	129.64	234.63
4	56.98	291.85
4	60.94	286.93
4	63.34	209.72
4	58.3	355.67
4	43.22	249.98
4	28.46	72.93
4	35.64	95.82
4	57.75	121.43
4	41.3	127.94
4	38.1	96.21
4	46.67	112.94
4	43.46	209.62
4	53.95	212.26
4	54.4	124.84
4	79.92	138.33
4	62.69	148.63
4	50.56	203.91
4	67.46	166.14
4	65.71	209.13
4	79.25	144.96
4	40.9	94.73
4	46.42	50.31
4	118.98	148.23
4	65.97	82.45
4	76.56	84.79
4	80.13	109.42
5	56.14	250.98
5	119.28	191.24
5	90.65	200.96
5	82.39	381.05
5	70.16	260.44
5	61.12	255.05
5	65.56	233.93
5	63.92	197.36
5	41.72	203.36
5	68.52	130.07
5	36.34	135.22
5	36.34	103.78
5	25.41	153.2
5	125.62	903.88
5	67	551.28
5	45.13	77.17
5	28.94	73.5
5	25.88	68.68
5	148.65	180.04
5	58.36	123.31
5	85.88	167
5	57.89	140.42
5	94.01	111.2
5	79.96	91.17
5	87.18	88.68
5	54.74	62.09
5	84.56	57.18
5	52.16	66.6
6	73.27	84.98
6	81.4	71.13
6	83.58	58.67
6	126.08	79.69
6	110.96	103.14
6	89.72	71.22
6	90.82	76.75
7	139.05	124.64
7	112.82	521.54
7	86.68	125.17
7	138.57	103.84
7	127.22	120.08
8	57.6	180.36
8	71.2	169.3
8	40.24	104.57
8	70.16	155.71
8	91.08	191.89
8	55.89	119.3
8	65.19	79.83
8	36.1	52.28
8	78.21	110.19
8	81.61	109.21
8	86.86	102.17
8	75.07	122.82
8	92.86	199.45
8	56.01	90.52
8	84.57	114.83
8	118.35	168.71
8	81.18	90.27
9	209.12	246.47
9	47.38	35.95
9	38.12	74.2
9	90.76	98.85
10	40.47	223.51
10	95.16	246.32
10	73.85	189.52
10	38.89	130.37
10	35.4	234.27
10	38.53	338.02
10	128.5	157.13
10	38.39	299.14
10	64.15	247.08
10	47.49	187.64
10	79.37	410.64
