Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity
contig00001	---NA---	112	0		
contig00002	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	932	3	6.53E-113	79.67%
contig00003	lin1_nycco ame: full=line-1 reverse transcriptase homolog	2070	5	0	59.60%
contig00004	lin1_nycco ame: full=line-1 reverse transcriptase homolog	3074	5	6.92E-68	64.80%
contig00005	---NA---	190	0		
contig00006	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	1261	2	2.36E-20	75.00%
contig00007	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	2035	3	1.87E-45	74.33%
contig00008	lin1_nycco ame: full=line-1 reverse transcriptase homolog	212	2	1.49E-19	72.50%
contig00009	---NA---	402	0		
contig00010	---NA---	263	0		
contig00011	---NA---	268	0		
contig00014	---NA---	394	0		
contig00015	---NA---	194	0		
contig00017	---NA---	518	0		
contig00018	icam3_pantr ame: full=intercellular adhesion molecule 3 short=icam-3 ame: cd_antigen=cd50 flags: precursor	258	5	5.78E-35	79.80%
contig00019	icam1_human ame: full=intercellular adhesion molecule 1 short=icam-1 ame: full=major group rhinovirus receptor ame: cd_antigen=cd54 flags: precursor	289	5	3.38E-20	66.80%
contig00020	icam1_canfa ame: full=intercellular adhesion molecule 1 short=icam-1 ame: cd_antigen=cd54 flags: precursor	2469	5	1.10E-79	72.80%
contig00021	---NA---	115	0		
contig00022	icam4_mouse ame: full=intercellular adhesion molecule 4 short=icam-4 ame: cd_antigen=cd242 flags: precursor	506	3	7.57E-62	80.33%
contig00023	icam1_rat ame: full=intercellular adhesion molecule 1 short=icam-1 ame: cd_antigen=cd54 flags: precursor	440	5	5.68E-31	69.40%
contig00024	---NA---	229	0		
contig00025	lin1_nycco ame: full=line-1 reverse transcriptase homolog	102	1	2.79E-08	85.00%
contig00026	---NA---	1280	0		
contig00027	---NA---	647	0		
contig00028	---NA---	198	0		
contig00029	nek5_mouse ame: full=serine threonine-protein kinase nek5 ame: full=never in mitosis a-related kinase 5 short= -related protein kinase 5	1445	1	5.56E-18	66.00%
contig00030	---NA---	962	0		
contig00031	---NA---	142	0		
contig00032	---NA---	198	0		
contig00033	pol2_mouse ame: full=retrovirus-related pol polyprotein line-1 ame: full=long interspersed element-1 short=l1 includes: ame: full=reverse transcriptase includes: ame: full=endonuclease	419	2	1.93E-15	67.00%
contig00034	---NA---	362	0		
contig00035	icam3_human ame: full=intercellular adhesion molecule 3 short=icam-3 ame: full=cdw50 ame: full=icam-r ame: cd_antigen=cd50 flags: precursor	1207	5	2.21E-113	66.40%
contig00037	---NA---	279	0		
